sample,total_count,population,count,percentage
sample00021,100750,cd4_t_cell,31535,31.3
sample00021,100750,cd8_t_cell,19144,19.0
sample00021,100750,monocyte,26971,26.77
sample00021,100750,nk_cell,12763,12.67
sample00022,92670,b_cell,9563,10.32
sample00022,92670,cd4_t_cell,32814,35.41
sample00022,92670,cd8_t_cell,22424,24.2
sample00022,92670,monocyte,16304,17.59
sample00022,92670,nk_cell,11565,12.48
sample00023,104960,b_cell,6924,6.6
sample00023,104960,cd4_t_cell,29844,28.43
sample00023,104960,cd8_t_cell,28080,26.75
sample00023,104960,monocyte,24320,23.17
sample00023,104960,nk_cell,15792,15.05
sample00024,99969,b_cell,7552,7.55
sample00024,99969,cd4_t_cell,35270,35.28
sample00024,99969,cd8_t_cell,27821,27.83
sample00024,99969,monocyte,9645,9.65
sample00024,99969,nk_cell,19681,19.69
sample00025,95534,b_cell,11714,12.26
sample00025,95534,cd4_t_cell,30323,31.74
sample00025,95534,cd8_t_cell,21407,22.41
sample00025,95534,monocyte,11789,12.34
sample00025,95534,nk_cell,20301,21.25
sample00026,95777,b_cell,7936,8.29
sample00026,95777,cd4_t_cell,34545,36.07
sample00026,95777,cd8_t_cell,23786,24.83
sample00026,95777,monocyte,15581,16.27
sample00026,95777,nk_cell,13929,14.54
sample00027,93164,b_cell,8850,9.5
sample00027,93164,cd4_t_cell,26079,27.99
sample00027,93164,cd8_t_cell,21268,22.83
sample00027,93164,monocyte,18776,20.15
sample00027,93164,nk_cell,18191,19.53
sample00028,106062,b_cell,11386,10.74
sample00028,106062,cd4_t_cell,28400,26.78
sample00028,106062,cd8_t_cell,28155,26.55
sample00028,106062,monocyte,29251,27.58
sample00028,106062,nk_cell,8870,8.36
sample00029,97156,b_cell,5606,5.77
sample00029,97156,cd4_t_cell,31305,32.22
sample00029,97156,cd8_t_cell,28476,29.31
sample00029,97156,monocyte,15909,16.37
sample00029,97156,nk_cell,15860,16.32
sample00030,93972,b_cell,6413,6.82
sample00030,93972,cd4_t_cell,20437,21.75
sample00030,93972,cd8_t_cell,25167,26.78
sample00030,93972,monocyte,19638,20.9
sample00030,93972,nk_cell,22317,23.75
sample00031,106625,b_cell,7007,6.57
sample00031,106625,cd4_t_cell,31653,29.69
sample00031,106625,cd8_t_cell,30482,28.59
sample00031,106625,monocyte,23316,21.87
sample00031,106625,nk_cell,14167,13.29
sample00032,101357,b_cell,11118,10.97
sample00032,101357,cd4_t_cell,32582,32.15
sample00032,101357,cd8_t_cell,19704,19.44
sample00032,101357,monocyte,17350,17.12
sample00032,101357,nk_cell,20603,20.33
sample00033,93131,b_cell,9054,9.72
sample00033,93131,cd4_t_cell,24897,26.73
sample00033,93131,cd8_t_cell,31679,34.02
sample00033,93131,monocyte,11932,12.81
sample00033,93131,nk_cell,15569,16.72
sample00034,103870,b_cell,8350,8.04
sample00034,103870,cd4_t_cell,36716,35.35
sample00034,103870,cd8_t_cell,26526,25.54
sample00034,103870,monocyte,21284,20.49
sample00034,103870,nk_cell,10994,10.58
sample00035,94622,b_cell,5327,5.63
sample00035,94622,cd4_t_cell,38264,40.44
sample00035,94622,cd8_t_cell,28094,29.69
sample00035,94622,monocyte,15688,16.58
sample00035,94622,nk_cell,7249,7.66
sample00036,103532,b_cell,8635,8.34
sample00036,103532,cd4_t_cell,31787,30.7
sample00036,103532,cd8_t_cell,29458,28.45
sample00036,103532,monocyte,17154,16.57
sample00036,103532,nk_cell,16498,15.94
sample00037,92368,b_cell,8915,9.65
sample00037,92368,cd4_t_cell,24564,26.59
sample00037,92368,cd8_t_cell,21012,22.75
sample00037,92368,monocyte,23510,25.45
sample00037,92368,nk_cell,14367,15.55
sample00038,98897,b_cell,12062,12.2
sample00038,98897,cd4_t_cell,33109,33.48
sample00038,98897,cd8_t_cell,18923,19.13
sample00038,98897,monocyte,20427,20.65
sample00038,98897,nk_cell,14376,14.54
sample00039,107756,b_cell,14634,13.58
sample00039,107756,cd4_t_cell,35553,32.99
sample00039,107756,cd8_t_cell,26888,24.95
sample00039,107756,monocyte,18809,17.46
sample00039,107756,nk_cell,11872,11.02
sample00040,105943,b_cell,11007,10.39
sample00040,105943,cd4_t_cell,25872,24.42
sample00040,105943,cd8_t_cell,25723,24.28
sample00040,105943,monocyte,25016,23.61
sample00040,105943,nk_cell,18325,17.3
sample00041,91358,b_cell,11583,12.68
sample00041,91358,cd4_t_cell,22586,24.72
sample00041,91358,cd8_t_cell,23517,25.74
sample00041,91358,monocyte,19241,21.06
sample00041,91358,nk_cell,14431,15.8
sample00042,111631,b_cell,12118,10.86
sample00042,111631,cd4_t_cell,41403,37.09
sample00042,111631,cd8_t_cell,22342,20.01
sample00042,111631,monocyte,17108,15.33
sample00042,111631,nk_cell,18660,16.72
sample00043,104827,b_cell,4750,4.53
sample00043,104827,cd4_t_cell,36392,34.72
sample00043,104827,cd8_t_cell,23553,22.47
sample00043,104827,monocyte,24363,23.24
sample00043,104827,nk_cell,15769,15.04
sample00044,106034,b_cell,15793,14.89
sample00044,106034,cd4_t_cell,37025,34.92
sample00044,106034,cd8_t_cell,25351,23.91
sample00044,106034,monocyte,13893,13.1
sample00044,106034,nk_cell,13972,13.18
sample00045,104473,b_cell,13792,13.2
sample00045,104473,cd4_t_cell,33714,32.27
sample00045,104473,cd8_t_cell,26314,25.19
sample00045,104473,monocyte,13548,12.97
sample00045,104473,nk_cell,17105,16.37
sample00046,105731,b_cell,7726,7.31
sample00046,105731,cd4_t_cell,29221,27.64
sample00046,105731,cd8_t_cell,25456,24.08
sample00046,105731,monocyte,25427,24.05
sample00046,105731,nk_cell,17901,16.93
sample00047,93338,b_cell,8249,8.84
sample00047,93338,cd4_t_cell,37597,40.28
sample00047,93338,cd8_t_cell,20566,22.03
sample00047,93338,monocyte,15869,17.0
sample00047,93338,nk_cell,11057,11.85
sample00048,105178,b_cell,13648,12.98
sample00048,105178,cd4_t_cell,31150,29.62
sample00048,105178,cd8_t_cell,32565,30.96
sample00048,105178,monocyte,17485,16.62
sample00048,105178,nk_cell,10330,9.82
sample00049,104513,b_cell,11419,10.93
sample00049,104513,cd4_t_cell,29883,28.59
sample00049,104513,cd8_t_cell,20811,19.91
sample00049,104513,monocyte,20669,19.78
sample00049,104513,nk_cell,21731,20.79
sample00050,106504,b_cell,14113,13.25
sample00050,106504,cd4_t_cell,32832,30.83
sample00050,106504,cd8_t_cell,32701,30.7
sample00050,106504,monocyte,12899,12.11
sample00050,106504,nk_cell,13959,13.11
sample00051,88918,b_cell,9765,10.98
sample00051,88918,cd4_t_cell,25644,28.84
sample00051,88918,cd8_t_cell,21622,24.32
sample00051,88918,monocyte,19209,21.6
sample00051,88918,nk_cell,12678,14.26
sample00052,95942,b_cell,11122,11.59
sample00052,95942,cd4_t_cell,21886,22.81
sample00052,95942,cd8_t_cell,30718,32.02
sample00052,95942,monocyte,20577,21.45
sample00052,95942,nk_cell,11639,12.13
sample00053,99135,b_cell,11822,11.93
sample00053,99135,cd4_t_cell,30587,30.85
sample00053,99135,cd8_t_cell,26750,26.98
sample00053,99135,monocyte,22544,22.74
sample00053,99135,nk_cell,7432,7.5
sample00054,99486,b_cell,7782,7.82
sample00054,99486,cd4_t_cell,26399,26.54
sample00054,99486,cd8_t_cell,26235,26.37
sample00054,99486,monocyte,20742,20.85
sample00054,99486,nk_cell,18328,18.42
sample00055,101344,b_cell,11645,11.49
sample00055,101344,cd4_t_cell,34912,34.45
sample00055,101344,cd8_t_cell,23172,22.86
sample00055,101344,monocyte,16223,16.01
sample00055,101344,nk_cell,15392,15.19
sample00056,92361,b_cell,11022,11.93
sample00056,92361,cd4_t_cell,24674,26.71
sample00056,92361,cd8_t_cell,18780,20.33
sample00056,92361,monocyte,20094,21.76
sample00056,92361,nk_cell,17791,19.26
sample00057,111127,b_cell,15157,13.64
sample00057,111127,cd4_t_cell,40906,36.81
sample00057,111127,cd8_t_cell,19991,17.99
sample00057,111127,monocyte,23819,21.43
sample00057,111127,nk_cell,11254,10.13
sample00058,93201,b_cell,10510,11.28
sample00058,93201,cd4_t_cell,28561,30.64
sample00058,93201,cd8_t_cell,20389,21.88
sample00058,93201,monocyte,17442,18.71
sample00058,93201,nk_cell,16299,17.49
sample00059,108944,b_cell,17545,16.1
sample00059,108944,cd4_t_cell,33022,30.31
sample00059,108944,cd8_t_cell,24675,22.65
sample00059,108944,monocyte,19458,17.86
sample00059,108944,nk_cell,14244,13.07
sample00060,103534,b_cell,11035,10.66
sample00060,103534,cd4_t_cell,38817,37.49
sample00060,103534,cd8_t_cell,21406,20.68
sample00060,103534,monocyte,17717,17.11
sample00060,103534,nk_cell,14559,14.06
sample00061,111970,b_cell,4508,4.03
sample00061,111970,cd4_t_cell,38281,34.19
sample00061,111970,cd8_t_cell,34867,31.14
sample00061,111970,monocyte,18301,16.34
sample00061,111970,nk_cell,16013,14.3
sample00062,95286,b_cell,10066,10.56
sample00062,95286,cd4_t_cell,21554,22.62
sample00062,95286,cd8_t_cell,20104,21.1
sample00062,95286,monocyte,26057,27.35
sample00062,95286,nk_cell,17505,18.37
sample00063,93940,b_cell,7236,7.7
sample00063,93940,cd4_t_cell,29335,31.23
sample00063,93940,cd8_t_cell,32409,34.5
sample00063,93940,monocyte,14501,15.44
sample00063,93940,nk_cell,10459,11.13
sample00064,109577,b_cell,10199,9.31
sample00064,109577,cd4_t_cell,33535,30.6
sample00064,109577,cd8_t_cell,24842,22.67
sample00064,109577,monocyte,24701,22.54
sample00064,109577,nk_cell,16300,14.88
sample00065,92559,b_cell,8425,9.1
sample00065,92559,cd4_t_cell,24750,26.74
sample00065,92559,cd8_t_cell,28293,30.57
sample00065,92559,monocyte,18995,20.52
sample00065,92559,nk_cell,12096,13.07
sample00066,107284,b_cell,8052,7.51
sample00066,107284,cd4_t_cell,37350,34.81
sample00066,107284,cd8_t_cell,35323,32.92
sample00066,107284,monocyte,12632,11.77
sample00066,107284,nk_cell,13927,12.98
sample00067,107589,b_cell,11874,11.04
sample00067,107589,cd4_t_cell,29460,27.38
sample00067,107589,cd8_t_cell,24116,22.41
sample00067,107589,monocyte,20737,19.27
sample00067,107589,nk_cell,21402,19.89
sample00068,110245,b_cell,10501,9.53
sample00068,110245,cd4_t_cell,35458,32.16
sample00068,110245,cd8_t_cell,33801,30.66
sample00068,110245,monocyte,23088,20.94
sample00068,110245,nk_cell,7397,6.71
sample00069,110094,b_cell,11742,10.67
sample00069,110094,cd4_t_cell,35087,31.87
sample00069,110094,cd8_t_cell,30825,28.0
sample00069,110094,monocyte,19536,17.74
sample00069,110094,nk_cell,12904,11.72
sample00070,97532,b_cell,9131,9.36
sample00070,97532,cd4_t_cell,31460,32.26
sample00070,97532,cd8_t_cell,21272,21.81
sample00070,97532,monocyte,19761,20.26
sample00070,97532,nk_cell,15908,16.31
sample00071,96197,b_cell,5029,5.23
sample00071,96197,cd4_t_cell,36013,37.44
sample00071,96197,cd8_t_cell,19587,20.36
sample00071,96197,monocyte,15972,16.6
sample00071,96197,nk_cell,19596,20.37
sample00072,93613,b_cell,8730,9.33
sample00072,93613,cd4_t_cell,22481,24.01
sample00072,93613,cd8_t_cell,26500,28.31
sample00072,93613,monocyte,19301,20.62
sample00072,93613,nk_cell,16601,17.73
sample00073,104898,b_cell,10426,9.94
sample00073,104898,cd4_t_cell,26510,25.27
sample00073,104898,cd8_t_cell,28944,27.59
sample00073,104898,monocyte,19567,18.65
sample00073,104898,nk_cell,19451,18.54
sample00074,92232,b_cell,13166,14.27
sample00074,92232,cd4_t_cell,33699,36.54
sample00074,92232,cd8_t_cell,18608,20.18
sample00074,92232,monocyte,11200,12.14
sample00074,92232,nk_cell,15559,16.87
sample00075,104711,b_cell,14480,13.83
sample00075,104711,cd4_t_cell,33149,31.66
sample00075,104711,cd8_t_cell,26460,25.27
sample00075,104711,monocyte,15639,14.94
sample00075,104711,nk_cell,14983,14.31
sample00076,110097,b_cell,12385,11.25
sample00076,110097,cd4_t_cell,37340,33.92
sample00076,110097,cd8_t_cell,23764,21.58
sample00076,110097,monocyte,20907,18.99
sample00076,110097,nk_cell,15701,14.26
sample00077,105432,b_cell,9602,9.11
sample00077,105432,cd4_t_cell,42528,40.34
sample00077,105432,cd8_t_cell,18744,17.78
sample00077,105432,monocyte,17956,17.03
sample00077,105432,nk_cell,16602,15.75
sample00078,107869,b_cell,5623,5.21
sample00078,107869,cd4_t_cell,26856,24.9
sample00078,107869,cd8_t_cell,32983,30.58
sample00078,107869,monocyte,23663,21.94
sample00078,107869,nk_cell,18744,17.38
sample00079,99165,b_cell,5792,5.84
sample00079,99165,cd4_t_cell,32123,32.39
sample00079,99165,cd8_t_cell,32012,32.28
sample00079,99165,monocyte,18446,18.6
sample00079,99165,nk_cell,10792,10.88
sample00080,95727,b_cell,5519,5.77
sample00080,95727,cd4_t_cell,31007,32.39
sample00080,95727,cd8_t_cell,22834,23.85
sample00080,95727,monocyte,18917,19.76
sample00080,95727,nk_cell,17450,18.23
sample00081,93286,b_cell,9595,10.29
sample00081,93286,cd4_t_cell,31245,33.49
sample00081,93286,cd8_t_cell,18940,20.3
sample00081,93286,monocyte,18924,20.29
sample00081,93286,nk_cell,14582,15.63
sample00082,103389,b_cell,6068,5.87
sample00082,103389,cd4_t_cell,30549,29.55
sample00082,103389,cd8_t_cell,31190,30.17
sample00082,103389,monocyte,17682,17.1
sample00082,103389,nk_cell,17900,17.31
sample00083,88242,b_cell,7306,8.28
sample00083,88242,cd4_t_cell,23762,26.93
sample00083,88242,cd8_t_cell,23204,26.3
sample00083,88242,monocyte,17528,19.86
sample00083,88242,nk_cell,16442,18.63
sample00084,100815,b_cell,10469,10.38
sample00084,100815,cd4_t_cell,28340,28.11
sample00084,100815,cd8_t_cell,24997,24.79
sample00084,100815,monocyte,18881,18.73
sample00084,100815,nk_cell,18128,17.98
sample00085,102542,b_cell,13770,13.43
sample00085,102542,cd4_t_cell,26218,25.57
sample00085,102542,cd8_t_cell,32384,31.58
sample00085,102542,monocyte,12907,12.59
sample00085,102542,nk_cell,17263,16.84
sample00086,105610,b_cell,12479,11.82
sample00086,105610,cd4_t_cell,31475,29.8
sample00086,105610,cd8_t_cell,18340,17.37
sample00086,105610,monocyte,16664,15.78
sample00086,105610,nk_cell,26652,25.24
sample00087,91946,b_cell,5686,6.18
sample00087,91946,cd4_t_cell,26848,29.2
sample00087,91946,cd8_t_cell,21892,23.81
sample00087,91946,monocyte,25096,27.29
sample00087,91946,nk_cell,12424,13.51
sample00088,101732,b_cell,6883,6.77
sample00088,101732,cd4_t_cell,31277,30.74
sample00088,101732,cd8_t_cell,23831,23.43
sample00088,101732,monocyte,20748,20.39
sample00088,101732,nk_cell,18993,18.67
sample00089,107271,b_cell,14432,13.45
sample00089,107271,cd4_t_cell,31757,29.6
sample00089,107271,cd8_t_cell,23729,22.12
sample00089,107271,monocyte,22063,20.57
sample00089,107271,nk_cell,15290,14.25
sample00090,102290,b_cell,13492,13.19
sample00090,102290,cd4_t_cell,26759,26.16
sample00090,102290,cd8_t_cell,20490,20.03
sample00090,102290,monocyte,23448,22.92
sample00090,102290,nk_cell,18101,17.7
sample00091,102598,b_cell,4652,4.53
sample00091,102598,cd4_t_cell,33782,32.93
sample00091,102598,cd8_t_cell,30489,29.72
sample00091,102598,monocyte,15790,15.39
sample00091,102598,nk_cell,17885,17.43
sample00092,113429,b_cell,7510,6.62
sample00092,113429,cd4_t_cell,37137,32.74
sample00092,113429,cd8_t_cell,22955,20.24
sample00092,113429,monocyte,23268,20.51
sample00092,113429,nk_cell,22559,19.89
sample00093,109064,b_cell,8676,7.95
sample00093,109064,cd4_t_cell,33280,30.51
sample00093,109064,cd8_t_cell,22893,20.99
sample00093,109064,monocyte,16745,15.35
sample00093,109064,nk_cell,27470,25.19
sample00094,102270,b_cell,13462,13.16
sample00094,102270,cd4_t_cell,23802,23.27
sample00094,102270,cd8_t_cell,19888,19.45
sample00094,102270,monocyte,25885,25.31
sample00094,102270,nk_cell,19233,18.81
sample00095,93081,b_cell,4896,5.26
sample00095,93081,cd4_t_cell,17746,19.07
sample00095,93081,cd8_t_cell,29022,31.18
sample00095,93081,monocyte,27838,29.91
sample00095,93081,nk_cell,13579,14.59
sample00096,108158,b_cell,8717,8.06
sample00096,108158,cd4_t_cell,31047,28.71
sample00096,108158,cd8_t_cell,29369,27.15
sample00096,108158,monocyte,25516,23.59
sample00096,108158,nk_cell,13509,12.49
sample00097,100776,b_cell,11469,11.38
sample00097,100776,cd4_t_cell,25644,25.45
sample00097,100776,cd8_t_cell,25912,25.71
sample00097,100776,monocyte,26747,26.54
sample00097,100776,nk_cell,11004,10.92
sample00098,105304,b_cell,10482,9.95
sample00098,105304,cd4_t_cell,31326,29.75
sample00098,105304,cd8_t_cell,25543,24.26
sample00098,105304,monocyte,23494,22.31
sample00098,105304,nk_cell,14459,13.73
sample00099,107859,b_cell,12589,11.67
sample00099,107859,cd4_t_cell,30346,28.13
sample00099,107859,cd8_t_cell,30282,28.08
sample00099,107859,monocyte,16250,15.07
sample00099,107859,nk_cell,18392,17.05
sample00100,106648,b_cell,12923,12.12
sample00100,106648,cd4_t_cell,32069,30.07
sample00100,106648,cd8_t_cell,24732,23.19
sample00100,106648,monocyte,17589,16.49
sample00100,106648,nk_cell,19335,18.13
sample00101,100154,b_cell,18583,18.55
sample00101,100154,cd4_t_cell,23455,23.42
sample00101,100154,cd8_t_cell,28514,28.47
sample00101,100154,monocyte,17677,17.65
sample00101,100154,nk_cell,11925,11.91
sample00102,102212,b_cell,16339,15.99
sample00102,102212,cd4_t_cell,30765,30.1
sample00102,102212,cd8_t_cell,15936,15.59
sample00102,102212,monocyte,22541,22.05
sample00102,102212,nk_cell,16631,16.27
sample00103,109022,b_cell,8845,8.11
sample00103,109022,cd4_t_cell,40757,37.38
sample00103,109022,cd8_t_cell,29598,27.15
sample00103,109022,monocyte,20436,18.74
sample00103,109022,nk_cell,9386,8.61
sample00104,110049,b_cell,7005,6.37
sample00104,110049,cd4_t_cell,37678,34.24
sample00104,110049,cd8_t_cell,22323,20.28
sample00104,110049,monocyte,20200,18.36
sample00104,110049,nk_cell,22843,20.76
sample00105,97807,b_cell,10654,10.89
sample00105,97807,cd4_t_cell,27062,27.67
sample00105,97807,cd8_t_cell,20879,21.35
sample00105,97807,monocyte,24268,24.81
sample00105,97807,nk_cell,14944,15.28
sample00106,93933,b_cell,10373,11.04
sample00106,93933,cd4_t_cell,31487,33.52
sample00106,93933,cd8_t_cell,17211,18.32
sample00106,93933,monocyte,19680,20.95
sample00106,93933,nk_cell,15182,16.16
sample00107,102371,b_cell,17623,17.21
sample00107,102371,cd4_t_cell,41127,40.17
sample00107,102371,cd8_t_cell,22928,22.4
sample00107,102371,monocyte,10158,9.92
sample00107,102371,nk_cell,10535,10.29
sample00108,97245,b_cell,4983,5.12
sample00108,97245,cd4_t_cell,26215,26.96
sample00108,97245,cd8_t_cell,27559,28.34
sample00108,97245,monocyte,21483,22.09
sample00108,97245,nk_cell,17005,17.49
sample00109,104944,b_cell,13509,12.87
sample00109,104944,cd4_t_cell,37336,35.58
sample00109,104944,cd8_t_cell,20448,19.48
sample00109,104944,monocyte,14045,13.38
sample00109,104944,nk_cell,19606,18.68
sample00110,97311,b_cell,11477,11.79
sample00110,97311,cd4_t_cell,34048,34.99
sample00110,97311,cd8_t_cell,23447,24.09
sample00110,97311,monocyte,14957,15.37
sample00110,97311,nk_cell,13382,13.75
sample00111,102821,b_cell,15992,15.55
sample00111,102821,cd4_t_cell,35615,34.64
sample00111,102821,cd8_t_cell,23376,22.73
sample00111,102821,monocyte,12438,12.1
sample00111,102821,nk_cell,15400,14.98
sample00112,99754,b_cell,8100,8.12
sample00112,99754,cd4_t_cell,32544,32.62
sample00112,99754,cd8_t_cell,25296,25.36
sample00112,99754,monocyte,21547,21.6
sample00112,99754,nk_cell,12267,12.3
sample00113,108308,b_cell,8777,8.1
sample00113,108308,cd4_t_cell,33746,31.16
sample00113,108308,cd8_t_cell,28919,26.7
sample00113,108308,monocyte,26475,24.44
sample00113,108308,nk_cell,10391,9.59
sample00114,106352,b_cell,13741,12.92
sample00114,106352,cd4_t_cell,31383,29.51
sample00114,106352,cd8_t_cell,28857,27.13
sample00114,106352,monocyte,14283,13.43
sample00114,106352,nk_cell,18088,17.01
sample00115,92639,b_cell,5722,6.18
sample00115,92639,cd4_t_cell,29410,31.75
sample00115,92639,cd8_t_cell,23044,24.88
sample00115,92639,monocyte,19301,20.83
sample00115,92639,nk_cell,15162,16.37
sample00116,99836,b_cell,6304,6.31
sample00116,99836,cd4_t_cell,39506,39.57
sample00116,99836,cd8_t_cell,18835,18.87
sample00116,99836,monocyte,15765,15.79
sample00116,99836,nk_cell,19426,19.46
sample00117,93271,b_cell,8561,9.18
sample00117,93271,cd4_t_cell,23471,25.16
sample00117,93271,cd8_t_cell,28864,30.95
sample00117,93271,monocyte,18522,19.86
sample00117,93271,nk_cell,13853,14.85
sample00118,96176,b_cell,8314,8.64
sample00118,96176,cd4_t_cell,26165,27.21
sample00118,96176,cd8_t_cell,28113,29.23
sample00118,96176,monocyte,16145,16.79
sample00118,96176,nk_cell,17439,18.13
sample00119,109329,b_cell,10519,9.62
sample00119,109329,cd4_t_cell,29357,26.85
sample00119,109329,cd8_t_cell,24245,22.18
sample00119,109329,monocyte,29544,27.02
sample00119,109329,nk_cell,15664,14.33
sample00120,99469,b_cell,5301,5.33
sample00120,99469,cd4_t_cell,28293,28.44
sample00120,99469,cd8_t_cell,25850,25.99
sample00120,99469,monocyte,21026,21.14
sample00120,99469,nk_cell,18999,19.1
sample00121,100448,b_cell,6109,6.08
sample00121,100448,cd4_t_cell,28027,27.9
sample00121,100448,cd8_t_cell,23796,23.69
sample00121,100448,monocyte,23633,23.53
sample00121,100448,nk_cell,18883,18.8
sample00122,102361,b_cell,9758,9.53
sample00122,102361,cd4_t_cell,31029,30.31
sample00122,102361,cd8_t_cell,28775,28.11
sample00122,102361,monocyte,21255,20.76
sample00122,102361,nk_cell,11544,11.28
sample00123,101404,b_cell,8588,8.47
sample00123,101404,cd4_t_cell,29889,29.48
sample00123,101404,cd8_t_cell,26624,26.26
sample00123,101404,monocyte,19142,18.88
sample00123,101404,nk_cell,17161,16.92
sample00124,91040,b_cell,7220,7.93
sample00124,91040,cd4_t_cell,28332,31.12
sample00124,91040,cd8_t_cell,23608,25.93
sample00124,91040,monocyte,19553,21.48
sample00124,91040,nk_cell,12327,13.54
sample00125,108174,b_cell,18039,16.68
sample00125,108174,cd4_t_cell,27052,25.01
sample00125,108174,cd8_t_cell,34464,31.86
sample00125,108174,monocyte,15254,14.1
sample00125,108174,nk_cell,13365,12.36
sample00126,93769,b_cell,8794,9.38
sample00126,93769,cd4_t_cell,29419,31.37
sample00126,93769,cd8_t_cell,21622,23.06
sample00126,93769,monocyte,21082,22.48
sample00126,93769,nk_cell,12852,13.71
sample00127,105638,b_cell,12536,11.87
sample00127,105638,cd4_t_cell,24468,23.16
sample00127,105638,cd8_t_cell,25347,23.99
sample00127,105638,monocyte,23448,22.2
sample00127,105638,nk_cell,19839,18.78
